category,prompt,expected_value,test_set,eval_split,example_id
geography,Which country contains Istanbul?,Turkey,general_knowledge,train,general_train_079
geography,Which country contains Nairobi?,Kenya,general_knowledge,train,general_train_080
geography,Which country contains Prague?,Czech Republic,general_knowledge,train,general_train_081
geography,Which country contains Seoul?,South Korea,general_knowledge,train,general_train_082
geography,Which ocean is east of the United States?,Atlantic Ocean,general_knowledge,train,general_train_083
language,Complete the phrase: bread and ___.,butter,general_knowledge,train,general_train_084
language,Complete the phrase: day and ___.,night,general_knowledge,train,general_train_085
language,Complete the phrase: lock and ___.,key,general_knowledge,train,general_train_086
language,Complete the phrase: salt and ___.,pepper,general_knowledge,train,general_train_087
language,Give a synonym for happy.,glad,general_knowledge,train,general_train_088
language,Give a synonym for intelligent.,smart,general_knowledge,train,general_train_089
language,Give a synonym for quick.,fast,general_knowledge,train,general_train_090
language,Give a synonym for silent.,quiet,general_knowledge,train,general_train_091
language,Give a synonym for small.,little,general_knowledge,train,general_train_092
language,Give the comparative form of far.,farther,general_knowledge,train,general_train_093
language,Give the comparative form of little.,less,general_knowledge,train,general_train_094
language,Give the opposite of ancient.,modern,general_knowledge,train,general_train_095
language,Give the opposite of narrow.,wide,general_knowledge,train,general_train_096
language,Give the opposite of permanent.,temporary,general_knowledge,train,general_train_097
language,Give the past tense of choose.,chose,general_knowledge,train,general_train_098
language,Give the past tense of speak.,spoke,general_knowledge,train,general_train_099
language,Give the past tense of write.,wrote,general_knowledge,train,general_train_100
language,Give the plural form of foot.,feet,general_knowledge,train,general_train_101
language,Give the plural form of goose.,geese,general_knowledge,train,general_train_102
language,Give the plural form of knife.,knives,general_knowledge,train,general_train_103
language,Give the plural form of tooth.,teeth,general_knowledge,train,general_train_104
language,Give the plural form of wolf.,wolves,general_knowledge,train,general_train_105
language,Give the superlative form of bad.,worst,general_knowledge,train,general_train_106
language,Give the superlative form of good.,best,general_knowledge,train,general_train_107
language,What is the adjective form of danger?,dangerous,general_knowledge,train,general_train_108
language,What is the opposite of victory?,defeat,general_knowledge,train,general_train_109
language,Which punctuation mark separates items in a list?,comma,general_knowledge,train,general_train_110
language,Which punctuation mark shows possession?,apostrophe,general_knowledge,train,general_train_111
science,How many bones are in an adult human body?,206,general_knowledge,train,general_train_112
science,How many chromosomes are in a typical human cell?,46,general_knowledge,train,general_train_113
science,How many teeth does a typical adult have?,32,general_knowledge,train,general_train_114
science,What force keeps planets in orbit?,gravity,general_knowledge,train,general_train_115
science,What galaxy contains the Solar System?,Milky Way,general_knowledge,train,general_train_116
science,What gas do humans exhale?,carbon dioxide,general_knowledge,train,general_train_117
science,What gas do plants release during photosynthesis?,oxygen,general_knowledge,train,general_train_118
science,What gas is most abundant in Earth's atmosphere?,nitrogen,general_knowledge,train,general_train_119
science,What instrument measures air pressure?,barometer,general_knowledge,train,general_train_120
science,What is the center of the Solar System?,Sun,general_knowledge,train,general_train_121
science,What is the chemical symbol for calcium?,Ca,general_knowledge,train,general_train_122
science,What is the chemical symbol for gold?,Au,general_knowledge,train,general_train_123
science,What is the chemical symbol for potassium?,K,general_knowledge,train,general_train_124
science,What is the chemical symbol for silver?,Ag,general_knowledge,train,general_train_125
science,What is the chemical symbol for sodium?,Na,general_knowledge,train,general_train_126
science,What is the freezing point of water in Celsius?,0,general_knowledge,train,general_train_127
science,What is the largest organ of the human body?,skin,general_knowledge,train,general_train_128
science,What is the smallest unit of an element?,atom,general_knowledge,train,general_train_129
science,What organ controls the nervous system?,brain,general_knowledge,train,general_train_130
science,What organ filters blood to produce urine?,kidneys,general_knowledge,train,general_train_131
science,What process lets plants make food from light?,photosynthesis,general_knowledge,train,general_train_132
science,What temperature does water boil at in Celsius?,100,general_knowledge,train,general_train_133
science,What vitamin is produced when skin is exposed to sunlight?,vitamin D,general_knowledge,train,general_train_134
science,Which blood cells carry oxygen?,red blood cells,general_knowledge,train,general_train_135
science,Which organ is primarily used for breathing?,lungs,general_knowledge,train,general_train_136
science,Which organ is used for hearing?,ear,general_knowledge,train,general_train_137
science,Which planet is closest to the Sun?,Mercury,general_knowledge,train,general_train_138
science,Which planet is famous for its rings?,Saturn,general_knowledge,train,general_train_139
