category,prompt,expected_value,test_set,eval_split,example_id,model_stage,generated_answer,exact_match,contains_value
language,Which punctuation mark ends a direct question?,question mark,general_control,general,general_037,routed_lora_after_training,A period is used to end a direct question.,False,False
language,What is the comparative form of good?,better,general_control,general,general_038,routed_lora_after_training,"The comparative form of ""good"" is ""well.""",False,False
language,What is the opposite of empty?,full,general_control,general,general_039,routed_lora_after_training,Full or filled.,False,True
common_knowledge,Who wrote Hamlet?,William Shakespeare,general_control,general,general_040,routed_lora_after_training,"William Shakespeare wrote ""Hamlet"".",False,True
common_knowledge,How many days are in a week?,7,general_control,general,general_041,routed_lora_after_training,There are 7 days in a week.,False,True
common_knowledge,What color do red and blue make when mixed?,purple,general_control,general,general_042,routed_lora_after_training,Red and blue make green when mixed.,False,False
common_knowledge,How many hours are in a day?,24,general_control,general,general_043,routed_lora_after_training,There are 24 hours in a day.,False,True
common_knowledge,Which instrument has black and white keys?,piano,general_control,general,general_044,routed_lora_after_training,The instrument with black and white keys is a piano.,False,True
common_knowledge,What do bees make?,honey,general_control,general,general_045,routed_lora_after_training,"Bees make wax, which they use to build their nests and produce honey.",False,True
common_knowledge,How many months are in a year?,12,general_control,general,general_046,routed_lora_after_training,There are 12 months in a year.,False,True
common_knowledge,Which animal is famous for black and white stripes?,zebra,general_control,general,general_047,routed_lora_after_training,The animal that is famous for having black and white stripes is the zebra.,False,True
common_knowledge,What is the first month of the year?,January,general_control,general,general_048,routed_lora_after_training,The first month of the year is January.,False,True
common_knowledge,Which shape has three sides?,triangle,general_control,general,general_049,routed_lora_after_training,A triangle has three sides.,False,True
